Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Climate differentiates forest structure across a residential macrosystem,"Ossola, Alessandro; Hopton, Matthew E.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,639,,1164,1174,10.1016/j.scitotenv.2018.05.237,1
Ecosystem services and US stormwater planning: An approach for improving urban stormwater decisions,"BenDor, Todd K.; Shandas, Vivek; Miles, Brian; Belt, Kenneth; Olander, Lydia",ENVIRONMENTAL SCIENCE & POLICY,2018,88,,92,103,10.1016/j.envsci.2018.06.006,1
Marine ecosystem restoration and biodiversity offset,"Jacob, Celine; Buffard, Anais; Pioch, Sylvain; Thorin, Sebastien",ECOLOGICAL ENGINEERING,2018,120,,585,594,10.1016/j.ecoleng.2017.09.007,1
Learning from nature to enhance Blue engineering of marine infrastructure,"Bugnot, A. B.; Mayer-Pinto, M.; Johnston, E. L.; Schaefer, N.; Dafforn, K. A.",ECOLOGICAL ENGINEERING,2018,120,,611,621,10.1016/j.ecoleng.2018.03.012,1
The importance of green spaces to public health: a multi-continental analysis,"Amano, Tatsuya; Butt, Isabel; Peh, Kelvin S. -H.",ECOLOGICAL APPLICATIONS,2018,28,6,1473,1480,10.1002/eap.1748,1
"Impacts of urbanization on ecosystem services and their temporal relations: A case study in Northern Ningxia, China","Lyu, Rongfang; Zhang, Jianming; Xu, Mengqun; Li, Jijun",LAND USE POLICY,2018,77,,163,173,10.1016/j.landusepol.2018.05.022,1
Ecosystem services in urban land use planning policies: A case study of Ontario municipalities,"Lam, Sharon T.; Conway, Tenley M.",LAND USE POLICY,2018,77,,641,651,10.1016/j.landusepol.2018.06.020,1
Acute Challenges and Solutions for Urban Forestry in Compact and Densifying Cities,"Jim, C. Y.; van den Bosch, Cecil Konijnendijk; Chen, Wendy Y.",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,2018,144,3,,,10.1061/(ASCE)UP.1943-5444.0000466,1
Decoupling forest characteristics and background conditions to explain urban-rural variations of multiple microclimate regulation from urban trees,"Wang, Wenjie; Zhan, Bo; Xiao, Lu; Zhou, Wei; Wang, Huimei; He, Xingyuan",PEERJ,2018,6,,,,10.7717/peerj.5450,1
Simulating stream response to floodplain connectivity and revegetation from reach to watershed scales: Implications for stream management,"Singh, Nitin K.; Wemple, Beverley C.; Bomblies, Arne; Ricketts, Taylor H.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,633,,716,727,10.1016/j.scitotenv.2018.03.198,1
Cumulative Effects of Low Impact Development on Watershed Hydrology in a Mixed Land-Cover System,"Hoghooghi, Nahal; Golden, Heather E.; Bledsoe, Brian P.; Barnhart, Bradley L.; Brookes, Allen F.; Djang, Kevin S.; Halama, Jonathan J.; McKane, Robert B.; Nietch, Christopher T.; Pettus, Paul P.",WATER,2018,10,8,,,10.3390/w10080991,1
Integrating urban blue and green areas based on historical evidence,"Ioja, Ioan-Cristian; Osaci-Costache, Gabriela; Breuste, Juergen; Hossu, Constantina Alma; Gradinaru, Simona R.; Onose, Diana Andreea; Nita, Mihai Razvan; Skokanova, Hana",URBAN FORESTRY & URBAN GREENING,2018,34,,217,225,10.1016/j.ufug.2018.07.001,1
"Restorative urban forests: Exploring the relationships between forest stand structure, perceived restorativeness and benefits gained by visitors to coastal Pinus pinea forests","Tomao, Antonio; Secondi, Luca; Carrus, Giuseppe; Corona, Piermaria; Portoghesi, Luigi; Agrimi, Mariagrazia",ECOLOGICAL INDICATORS,2018,90,,594,605,10.1016/j.ecolind.2018.03.051,1
A pan-European model of landscape potential to support natural pest control services,"Rega, Carlo; Bartual, Agustin M.; Bocci, Gionata; Sutter, Louis; Albrecht, Matthias; Moonen, Anna-Camilla; Jeanneret, Philippe; van der Werf, Wopke; Pfister, Sonja C.; Holland, John M.; Paracchini, Maria Luisa",ECOLOGICAL INDICATORS,2018,90,,653,664,10.1016/j.ecolind.2018.03.075,1
Functional landscapes in cities: a systems approach,"Andersson, Erik",LANDSCAPE AND ECOLOGICAL ENGINEERING,2018,14,2,193,199,10.1007/s11355-017-0346-6,1
Road induced edge effects on a forest bird community in tropical Asia,"Khamcha, Daphawan; Corlett, Richard T.; Powell, Larkin A.; Savini, Tommaso; Lynam, Antony J.; Gale, George A.",AVIAN RESEARCH,2018,9,,,,10.1186/s40657-018-0112-y,1
"Green Infrastructure through Citizen Stormwater Management: Policy Instruments, Participation and Engagement","Lieberherr, Eva; Green, Olivia Odom",SUSTAINABILITY,2018,10,6,,,10.3390/su10062099,1
Unique Bee Communities within Vacant Lots and Urban Farms Result from Variation in Surrounding Urbanization Intensity,"Sivakoff, Frances S.; Prajzner, Scott P.; Gardiner, Mary M.",SUSTAINABILITY,2018,10,6,,,10.3390/su10061926,1
Low-density housing in sustainable urban planning - Scaling down to private gardens by using the green infrastructure concept,"Tahvonen, Outi; Airaksinen, Miimu",LAND USE POLICY,2018,75,,478,485,10.1016/j.landusepol.2018.04.017,1
Living shorelines enhanced the resilience of saltmarshes to Hurricane Matthew (2016),"Smith, Carter S.; Puckett, Brandon; Gittman, Rachel K.; Peterson, Charles H.",ECOLOGICAL APPLICATIONS,2018,28,4,871,877,10.1002/eap.1722,1
"Optimizing the allocation of agri-environment measures to navigate the trade-offs between ecosystem services, biodiversity and agricultural production","Verhagen, Willem; van der Zanden, Emma H.; Strauch, Michael; van Teeffelen, Astrid J. A.; Verburg, Peter H.",ENVIRONMENTAL SCIENCE & POLICY,2018,84,,186,196,10.1016/j.envsci.2018.03.013,1
"Objectives and Indexes for Implementation of Sponge CitiesA Case Study of Changzhou City, China","Li, Zhengzhao; Dong, Mingjing; Wong, Tony; Wang, Jianbin; Kumar, Alagarasan Jagadeesh; Singh, Rajendra Prasad",WATER,2018,10,5,,,10.3390/w10050623,1
Spatio-Temporal Patterns of Urban Forest Basal Area under China's Rapid Urban Expansion and Greening: Implications for Urban Green Infrastructure Management,"Ren, Zhibin; He, Xingyuan; Zheng, Haifeng; Wei, Hongxu",FORESTS,2018,9,5,,,10.3390/f9050272,1
Visual structure of landscapes seen from built environment,"Hilal, M.; Joly, D.; Roy, D.; Vuidel, G.",URBAN FORESTRY & URBAN GREENING,2018,32,,71,80,10.1016/j.ufug.2018.03.020,1
Sacred sites as habitats of culturally important plant species in an Indian megacity,"Gopal, Divya; von der Lippe, Moritz; Kowarik, Ingo",URBAN FORESTRY & URBAN GREENING,2018,32,,113,122,10.1016/j.ufug.2018.04.003,1
Can patterns of urban biodiversity be predicted using simple measures of green infrastructure?,"Brunbjerg, Ane Kirstine; Hale, James D.; Bates, Adam J.; Fowler, Robert E.; Rosenfeld, Emma J.; Sadler, Jonathan P.",URBAN FORESTRY & URBAN GREENING,2018,32,,143,153,10.1016/j.ufug.2018.03.015,1
Multi-dimensional eco-land classification and management for implementing the ecological redline policy in China,"Guo, Xudong; Chang, Qing; Liu, Xiao; Bao, Huimin; Zhang, Yuepeng; Tu, Xueying; Zhu, Chunxia; Lv, Chunyan; Zhang, Yanyu",LAND USE POLICY,2018,74,,15,31,10.1016/j.landusepol.2017.09.033,1
Demonstrating and Monetizing the Multiple Benefits from Using SuDS,"Ashley, R. M.; Gersonius, B.; Digman, C.; Horton, B.; Bacchin, T.; Smith, B.; Shaffer, P.; Baylis, A.",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2018,4,2,,,10.1061/JSWBAY.0000848,1
SECOND LAW OF THERMODYNAMICS AND URBAN GREEN INFRASTRUCTURE A KNOWLEDGE SYNTHESIS TO ADDRESS SPATIAL PLANNING STRATEGIES,"Pelorosso, Raffaele; Gobattoni, Federica; Ripa, Maria Nicolina; Leone, Antonio",TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,2018,11,1,27,50,10.6092/1970-9870/5326,1
RE-SEWING THE URBAN PERIPHERY. A GREEN STRATEGY FOR FONTIVEGGE DISTRICT IN PERUGIA,"Bianconi, Fabio; Clemente, Matteo; Filippucci, Marco; Salvati, Luca",TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,2018,11,1,107,118,10.6092/1970-9870/5216,1
Viability of Green Roofs as a Flood Mitigation Element in the Central Region of Chile,"Mora-Melia, Daniel; Lopez-Aburto, Carlos S.; Ballesteros-Perez, Pablo; Munoz-Velasco, Pedro",SUSTAINABILITY,2018,10,4,,,10.3390/su10041130,1
Landscape Greening Policies-based Land Use/Land Cover Simulation for Beijing and Islamabad-An Implication of Sustainable Urban Ecosystems,"Naeem, Shahid; Cao, Chunxiang; Fatima, Khunsa; Najmuddin, Omaid; Acharya, Bipin Kumar",SUSTAINABILITY,2018,10,4,,,10.3390/su10041049,1
Show me your garden and I will tell you how sustainable you are: Dutch citizens' perspectives on conserving biodiversity and promoting a sustainable urban living environment through domestic gardening,"Beumer, Carijn",URBAN FORESTRY & URBAN GREENING,2018,30,,260,279,10.1016/j.ufug.2017.09.010,1
Agroecology for the Shrinking City,"Herrmann, Dustin L.; Chuang, Wen-Ching; Schwarz, Kirsten; Bowles, Timothy M.; Garmestani, Ahjond S.; Shuster, William D.; Eason, Tarsha; Hopton, Matthew E.; Allen, Craig R.",SUSTAINABILITY,2018,10,3,,,10.3390/su10030675,1
Changes in the area of urban green space in cities of western Poland,"Krzyzaniak, Michal; Swierk, Dariusz; Szczepanska, Magdalena; Urbanski, Piotr",BULLETIN OF GEOGRAPHY-SOCIO-ECONOMIC SERIES,2018,39,39,65,77,10.2478/bog-2018-0005,1
How do Europeans want to live in 2040? Citizen visions and their consequences for European land use,"Metzger, Marc J.; Murray-Rust, Dave; Houtkamp, Joske; Jensen, Anne; La Riviere, Inge; Paterson, James S.; Perez-Soba, Marta; Valluri-Nitsch, Christiane",REGIONAL ENVIRONMENTAL CHANGE,2018,18,3,789,802,10.1007/s10113-016-1091-3,1
"Oil and gas development footprint in the Piceance Basin, western Colorado","Martinez, Cericia; Preston, Todd M.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,616,,355,362,10.1016/j.scitotenv.2017.10.280,1
Ecosystem services in cities: Towards the international legal protection of ecosystem services in urban environments,"Sirakaya, Aysegul; Cliquet, An; Harris, Jim",ECOSYSTEM SERVICES,2018,29,,205,212,10.1016/j.ecoser.2017.01.001,1
Barriers for the ecosystem services concept in European water and nature conservation law,"Kistenkas, Frederik H.; Bouwma, Irene M.",ECOSYSTEM SERVICES,2018,29,,223,227,10.1016/j.eoser.2017.02.013,1
Ground beetle (Coleoptera: Carabidae) communities on green roofs in Switzerland: synthesis and perspectives,"Petremand, Gael; Chittaro, Yannick; Braaker, Sonja; Brenneisen, Stephan; Gerner, Magdalena; Obrist, Martin K.; Rochefort, Sophie; Szallies, Alexander; Moretti, Marco",URBAN ECOSYSTEMS,2018,21,1,119,132,10.1007/s11252-017-0697-7,1
Mapping headwater systems using a HS-GIS model. An application to landscape structure and land use planning in Portugal,"Pena, Selma Beatriz; Magalhaes, Manuela Raposo; Abreu, Maria Manuela",LAND USE POLICY,2018,71,,543,553,10.1016/j.landusepol.2017.11.009,1
Sustainable Rainwater Utilization and Water Circulation Model for Green Campus Design at Tianjin University,"Peng, Sen; Cui, Huiping; Ji, Min",JOURNAL OF SUSTAINABLE WATER IN THE BUILT ENVIRONMENT,2018,4,1,,,10.1061/JSWBAY.0000841,1
EVALUATING URBAN FORESTS CONNECTIVITY IN RELATION TO URBAN FUNCTIONS IN ROMANIAN CITIES,"Nita, Mihai-Razvan; Nastase, Irina-Iulia; Badiu, Denisa-Lavinia; Onose, Diana-Andreea; Gavrilidis, Athanasios-Alexandru",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,2018,13,1,291,299,10.26471/cjees/2018/013/025,1
Opportunities for biodiversity conservation as cities adapt to climate change,"Butt, Nathalie; Shanahan, Danielle F.; Shumway, Nicole; Bekessy, Sarah A.; Fuller, Richard A.; Watson, James E. M.; Maggini, Ramona; Hole, David G.",GEO-GEOGRAPHY AND ENVIRONMENT,2018,5,1,,,10.1002/geo2.52,1
IDENTIFICATION OF KEY-TRENDS AND EVALUATION OF CONTEMPORARY RESEARCH REGARDING URBAN ECOSYSTEM SERVICES: A PATH TOWARDS SOCIO-ECOLOGICAL SUSTAINABILITY OF URBAN AREAS,"Atif, S. B.; Saqib, Z.; Ali, A.; Zaman, M. H.; Akhtar, N.; Fatima, H.; Atif, M.; Farooqi, S. M.",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2018,16,3,3545,3581,10.15666/aeer/1603_35453581,1
Building capacity on ecosystem-based adaptation strategy to cope with extreme events and sea-level rise on the Uruguayan coast,"Carro, Inti; Seijo, Leonardo; Nagy, Gustavo J.; Lagos, Ximena; Gutierrez, Ofelia",INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,2018,10,4,504,522,10.1108/IJCCSM-07-2017-0149,1
Mapping the distributive environmental justice of urban waters,"Viinikka, Arto; Paloniemi, Riikka; Assmuth, Timo",FENNIA-INTERNATIONAL JOURNAL OF GEOGRAPHY,2018,196,1,9,23,10.11143/fennia.64137,1
An indicator of urban morphology for landscape planning in Lombardy (Italy),"Ronchi, Silvia; Salata, Stefano; Arcidiacono, Andrea",MANAGEMENT OF ENVIRONMENTAL QUALITY,2018,29,4,623,642,10.1108/MEQ-05-2017-0048,1
Factors driving natural regeneration beneath a planted urban forest,"Doroski, Danica A.; Felson, Alexander J.; Bradford, Mark A.; Ashton, Mark P.; Oldfield, Emily E.; Hallett, Richard A.; Kuebbing, Sara E.",URBAN FORESTRY & URBAN GREENING,2018,29,,238,247,10.1016/j.ufug.2017.11.019,1
"Exploring green infrastructure benefits at house and neighborhood scale: case study of Illinois, USA","Kim, Jinki",LANDSCAPE AND ECOLOGICAL ENGINEERING,2018,14,1,165,174,10.1007/s11355-017-0331-0,1
This Port Is Killing People: Sustainability without Justice in the Neo-Keynesian Green City,"De Lara, Juan",ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,2018,108,2,538,548,10.1080/24694452.2017.1393328,1
Retrofitting urban drainage infrastructure: green or grey?,"Dolowitz, David Peter; Bell, Sarah; Keeley, Melissa",URBAN WATER JOURNAL,2018,15,1,83,91,10.1080/1573062X.2017.1396352,1
Integrating the ecosystem-based approach into municipal climate adaptation strategies: The case of Germany,"Zoelch, Teresa; Wamsler, Christine; Pauleit, Stephan",JOURNAL OF CLEANER PRODUCTION,2018,170,,966,977,10.1016/j.jclepro.2017.09.146,1
ALLELOPATHIC EFFECTS OF AQUEOUS EXTRACTS FROM SIX HYGROPHYTE SPECIES ON ACTIVITIES OF P. JAPONICA,"Uchida, Taizo; Arase, Teruo; Sato, Yohei; Hayasaka, Daisuke",INTERNATIONAL JOURNAL OF GEOMATE,2019,16,58,116,123,10.21660/2019.58.8211,0
Ecosystem restoration in Europe: Can analogies to Traditional Chinese Medicine facilitate the cross-policy harmonization on managing socioecological systems?,"Gocheva, Kremena; Lu, Yihe; Li, Feng; Bratanova-Doncheva, Svetla; Chipev, Nesho",SCIENCE OF THE TOTAL ENVIRONMENT,2019,657,,1553,1567,10.1016/j.scitotenv.2018.11.192,0
From classical water-ecosystem theories to nature-based solutions - Contextualizing nature-based solutions for sustainable city,"Krauze, Kinga; Wagner, Iwona",SCIENCE OF THE TOTAL ENVIRONMENT,2019,655,,697,706,10.1016/j.scitotenv.2018.11.187,0
"Ecohydrological consequences of tree removal in an urban park evaluated using open data, free software and a minimalist measuring campaign","Deutscher, Jan; Kupec, Petr; Kucera, Ales; Urban, Josef; Ledesma, Jose L. J.; Futter, Martyn",SCIENCE OF THE TOTAL ENVIRONMENT,2019,655,,1495,1504,10.1016/j.scitotenv.2018.11.277,0
Seven lessons for planning nature-based solutions in cities,"Frantzeskaki, Niki",ENVIRONMENTAL SCIENCE & POLICY,2019,93,,101,111,10.1016/j.envsci.2018.12.033,0
HESS Opinions: Socio-economic and ecological trade-offs of flood management - benefits of a transdisciplinary approach,"Auerswald, Karl; Moyle, Peter; Seibert, Simon Paul; Geist, Juergen",HYDROLOGY AND EARTH SYSTEM SCIENCES,2019,23,2,1035,1044,10.5194/hess-23-1035-2019,0
Landscape typology and ecological connectivity assessment to inform Greenway design,"Carlier, Julien; Moran, James",SCIENCE OF THE TOTAL ENVIRONMENT,2019,651,,3241,3252,10.1016/j.scitotenv.2018.10.077,0
Productivity and diversity of annually harvested reconstructed prairie communities,"Kordbacheh, Farnaz; Jarchow, Meghann; English, Lydia; Liebman, Matt",JOURNAL OF APPLIED ECOLOGY,2019,56,2,330,342,10.1111/1365-2664.13267,0
Quantifying wildlife watchers' preferences to investigate the overlap between recreational and conservation value of natural areas,"Mancini, Francesca; Coghill, George M.; Lusseau, David",JOURNAL OF APPLIED ECOLOGY,2019,56,2,387,397,10.1111/1365-2664.13274,0
Visions of resilience: lessons from applying a digital democracy tool in New York's Jamaica Bay watershed,"Giampieri, Mario A.; DuBois, Bryce; Allred, Shorna; Bunting-Howarth, Katherine; Fisher, Kim; Moy, Jesse; Sanderson, Eric W.",URBAN ECOSYSTEMS,2019,22,1,1,17,10.1007/s11252-017-0701-2,0
A green space vision in Southeast Michigan's most heavily industrialized area,"Draus, Paul; Lovall, Sam; Formby, Treva; Baldwin, Lloyd; Lowe-Anderson, Wanda",URBAN ECOSYSTEMS,2019,22,1,91,102,10.1007/s11252-018-0765-7,0
"Sacred sites, biodiversity and urbanization in an Indian megacity","Gopal, Divya; von der Lippe, Moritz; Kowarik, Ingo",URBAN ECOSYSTEMS,2019,22,1,161,172,10.1007/s11252-018-0804-4,0
Urban ecosystem Services in Latin America: mismatch between global concepts and regional realities?,"Dobbs, Cynnamon; Escobedo, Francisco J.; Clerici, Nicola; de la Barrera, Francisco; Eleuterio, Ana Alice; MacGregor-Fors, Ian; Reyes-Paecke, Sonia; Vasquez, Alexis; Zea Camano, Jorge Danilo; Jaime Hernandez, H.",URBAN ECOSYSTEMS,2019,22,1,173,187,10.1007/s11252-018-0805-3,0
Designing public squares with green infrastructure to optimize human thermal comfort,"Zoelch, Teresa; Rahman, Mohammad A.; Pfleiderer, Elisabeth; Wagner, Georg; Pauleit, Stephan",BUILDING AND ENVIRONMENT,2019,149,,640,654,10.1016/j.buildenv.2018.12.051,0
Exploring the effect of psychometric variables on willingness to pay for marine ecosystem services: A survey in Japan,"Wakita, Kazumi; Kurokura, Hisashi; Oishi, Taro; Shen, Zhonghua; Furuya, Ken",ECOSYSTEM SERVICES,2019,35,,130,138,10.1016/j.ecoser.2018.12.003,0
Valuing urban ecosystem services in sustainable brownfield redevelopment,"De Valck, Jeremy; Beames, Alistair; Liekens, Inge; Bettens, Maarten; Seuntjens, Piet; Broekx, Steven",ECOSYSTEM SERVICES,2019,35,,139,149,10.1016/j.ecoser.2018.12.006,0
Assessing the policy scenarios for the Ecosystem Water Food Energy (EWFE) nexus in the Mediterranean region,"Karabulut, Armagan Aloe; Udias, Angel; Vigiak, Olga",ECOSYSTEM SERVICES,2019,35,,231,240,10.1016/j.ecoser.2018.12.013,0
Landscape trajectory of natural boreal forest loss as an impediment to green infrastructure,"Svensson, Johan; Andersson, Jon; Sandstrom, Per; Mikusinski, Grzegorz; Jonsson, Bengt Gunnar",CONSERVATION BIOLOGY,2019,33,1,152,163,10.1111/cobi.13148,0
Domestic gardens as favorable pollinator habitats in impervious landscapes,"Leve, Marine; Baudry, Emmanuelle; Bessa-Gomes, Carmen",SCIENCE OF THE TOTAL ENVIRONMENT,2019,647,,420,430,10.1016/j.scitotenv.2018.07.310,0
"Impact of Urban Surface Characteristics and Socio-Economic Variables on the Spatial Variation of Land Surface Temperature in Lagos City, Nigeria","Dissanayake, D. M. S. L. B.; Morimoto, Takehiro; Murayama, Yuji; Ranagalage, Manjula; Handayani, Hepi H.",SUSTAINABILITY,2019,11,1,,,10.3390/su11010025,0
Biodiversity and ecosystem services in urban green infrastructure planning: A case study from the metropolitan area of Rome (Italy),"Capotorti, Giulia; Orti, Marta Maria Alos; Copiz, Riccardo; Fusaro, Lina; Mollo, Barbara; Salvatori, Elisabetta; Zavattero, Laura",URBAN FORESTRY & URBAN GREENING,2019,37,,87,96,10.1016/j.ufug.2017.12.014,0
Green Mobility Infrastructures. A landscape approach for roundabouts' gardens applied to an Italian case study,"Dall'Ara, Enrica; Maino, Elisabetta; Gatta, Giulia; Torreggiani, Daniele; Tassinari, Patrizia",URBAN FORESTRY & URBAN GREENING,2019,37,,109,125,10.1016/j.ufug.2018.03.011,0
Is new always better than old? Accessibility and usability of the urban green areas of the municipality of Rome,"Quatrini, Valerio; Tomao, Antonio; Corona, Piermaria; Ferrari, Barbara; Masini, Emanuela; Agrimi, Mariagrazia",URBAN FORESTRY & URBAN GREENING,2019,37,,126,134,10.1016/j.ufug.2018.07.015,0
Mapping and classifying green infrastructure typologies for climate-related studies based on remote sensing data,"Bartesaghi-Koc, Carlos; Osmond, Paul; Peters, Alan",URBAN FORESTRY & URBAN GREENING,2019,37,,154,167,10.1016/j.ufug.2018.11.008,0
How to renew soil bioengineering for slope stabilization: some proposals,"Giupponi, Luca; Borgonovo, Gigliola; Giorgi, Annamaria; Bischetti, Gian Battista",LANDSCAPE AND ECOLOGICAL ENGINEERING,2019,15,1,37,50,10.1007/s11355-018-0359-9,0
"Greening Displacements, Displacing Green: Environmental Subjectivity, Slum Clearance, and the Embodied Political Ecologies of Dispossession in Mumbai","Doshi, Sapana",INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2019,43,1,112,132,10.1111/1468-2427.12699,0
Relating stomatal conductance and surface area with evapotranspiration induced suction in a heterogeneous grass cover,"Gadi, Vinay Kumar; Hussain, Rojimul; Bordoloi, Sanandam; Hossain, Siraj; Singh, Shivam Raj; Garg, Ankit; Sekharan, Sreedeep; Karangat, Ravi; Lingaraj, Sahoo",JOURNAL OF HYDROLOGY,2019,568,,867,876,10.1016/j.jhydrol.2018.11.048,0
Transitional path to the adoption of nature-based solutions,"Davies, Clive; Lafortezza, Raffaele",LAND USE POLICY,2019,80,,406,409,10.1016/j.landusepol.2018.09.020,0
From ocean sprawl to blue-green infrastructure - A UK perspective on an issue of global significance,"Evans, Ally. J.; Firth, Louise B.; Hawkins, Stephen J.; Hall, Alice E.; Ironside, Joseph E.; Thompson, Richard C.; Moore, Pippa J.",ENVIRONMENTAL SCIENCE & POLICY,2019,91,,60,69,10.1016/j.envsci.2018.09.008,0
"Bringing conservation priorities into urban growth simulation: An integrated model and applied case study of Hangzhou, China","Li, Yonghua; Ma, Qiwei; Song, Yan; Han, Haoying",RESOURCES CONSERVATION AND RECYCLING,2019,140,,324,337,10.1016/j.resconrec.2018.09.032,0
Soil and microbial properties of green infrastructure stormwater management systems,"Deeb, Maha; Groffman, Peter M.; Joyner, Jessica L.; Lozefski, George; Paltseva, Anna; Lin, Beien; Mania, Kathy; Cao, Donna L.; McLaughlin, John; Muth, Theodore; Prithiviraj, Bharath; Kerwin, Jordan; Cheng, Zhongqi",ECOLOGICAL ENGINEERING,2018,125,,68,75,10.1016/j.ecoleng.2018.10.017,0
"Effects of conversion of wetlands to rice and fish farming on water quality in valley bottoms of the Migina catchment, southern Rwanda","Uwimana, A.; van Dam, A. A.; Irvine, K.",ECOLOGICAL ENGINEERING,2018,125,,76,86,10.1016/j.ecoleng.2018.10.019,0
Realizing the opportunities of black carbon in urban soils: Implications for water quality management with green infrastructure,"Schifman, L. A.; Prues, A.; Gilkey, K.; Shuster, W. D.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,644,,1027,1035,10.1016/j.scitotenv.2018.06.396,0
Useful wasteland - the potential of undeveloped land in modification of urban green infrastructure based on the city of Poznan,"Galecka-Drozda, Anna; Raszeja, Elzbieta",MISCELLANEA GEOGRAPHICA,2018,22,4,225,230,10.2478/mgrsd-2018-0016,0
Analysing the Synergies and Trade-Offs between Ecosystem Services to Reorient Land Use Planning in Metropolitan Bilbao (Northern Spain),"Pena, Lorena; Onaindia, Miren; Fernandez de Manuel, Beatriz; Ametzaga-Arregi, Ibone; Casado-Arzuaga, Izaskun",SUSTAINABILITY,2018,10,12,,,10.3390/su10124376,0
The Evaluation of Green Investments in Urban Areas: A Proposal of an eco-social-green Model of the City,"Sturiale, Luisa; Scuderi, Alessandro",SUSTAINABILITY,2018,10,12,,,10.3390/su10124541,0
"Scalable Green InfrastructureThe Case of Domestic Private Gardens in Vuores, Finland","Tahvonen, Outi",SUSTAINABILITY,2018,10,12,,,10.3390/su10124571,0
A GIS-Based Framework Creating Green Stormwater Infrastructure Inventory Relevant to Surface Transportation Planning,"Xu, Xiaofan; Schreiber, Dylan S. P.; Lu, Qing; Zhang, Qiong",SUSTAINABILITY,2018,10,12,,,10.3390/su10124710,0
The effects of urban expansion on green infrastructure along an extended latitudinal gradient (23 degrees S-45 degrees S) in Chile over the last thirty years,"Hernandez-Moreno, Angela; Reyes-Paecke, Sonia",LAND USE POLICY,2018,79,,725,733,10.1016/j.landusepol.2018.09.008,0
Environmental impact assessment of Pinaceae airborne pollen and green infrastructure using BIM,"Fernandez-Rodriguez, Santiago; Pedro Cortes-Perez, Juan; Prieto Muriel, Paloma; Tormo-Molina, Rafael; Maya-Manzano, Jose Maria",AUTOMATION IN CONSTRUCTION,2018,96,,494,507,10.1016/j.autcon.2018.10.011,0
Historic Institutionalism and Urban Morphology in Jakarta: Moving Towards Building Flood Resiliency into the Formal Planning and Development System,"Mathewson, David Wallace",JOURNAL OF REGIONAL AND CITY PLANNING,2018,29,3,188,209,10.5614/jrcp.2018.29.3.2,0
"Reclamation of water and the synthesis of gypsum and limestone from acid mine drainage treatment process using a combination of pre-treated magnesite nanosheets, lime, and CO2 bubbling","Masindi, Vhahangwele; Madzivire, Godfrey; Tekere, Memory",WATER RESOURCES AND INDUSTRY,2018,20,,1,14,10.1016/j.wri.2018.07.001,0
Adapting to sea level rise: Emerging governance issues in the San Francisco Bay Region,"Pinto, Pedro J.; Kondolf, G. Mathias; Wong, Pun Lok Raymond",ENVIRONMENTAL SCIENCE & POLICY,2018,90,,28,37,10.1016/j.envsci.2018.09.015,0
Key coastal landscape structures for resilient coastal green infrastructure to enhance the abundance of migratory birds on the Yellow Sea,"Kim, Min; Choi, Yun Eui; Chon, Jinhyung",ENVIRONMENTAL POLLUTION,2018,243,,1617,1628,10.1016/j.envpol.2018.08.081,0
The multiscale effects of stream restoration on water quality,"Thompson, J.; Pelc, C. E.; Brogan, W. R., III; Jordan, T. E.",ECOLOGICAL ENGINEERING,2018,124,,7,18,10.1016/j.ecoleng.2018.09.016,0
Air pollution deposition on a roadside vegetation barrier in a Mediterranean environment: Combined effect of evergreen shrub species and planting density,"Mori, J.; Fini, A.; Galimberti, M.; Ginepro, M.; Burchi, G.; Massa, D.; Ferrini, F.",SCIENCE OF THE TOTAL ENVIRONMENT,2018,643,,725,737,10.1016/j.scitotenv.2018.06.217,0
Peculiar features of the plastids of the colourless alga Euglena longa and photosynthetic euglenophytes unveiled by transcriptome analyses,"Zahonova, Kristina; Fussy, Zoltan; Bircak, Erik; Novak Vanclova, Anna M. G.; Klimes, Vladimir; Vesteg, Matej; Krajcovic, Juraj; Obornik, Miroslav; Elias, Marek",SCIENTIFIC REPORTS,2018,8,,,,10.1038/s41598-018-35389-1,0
"Effects of the urban heat island and climate change on the growth of Khaya senegalensis in Hanoi, Vietnam","Moser-Reischl, Astrid; Uhl, Enno; Roetzer, Thomas; Biber, Peter; Tran van Con; Nguyen Thanh Tan; Pretzsch, Hans",FOREST ECOSYSTEMS,2018,5,,,,10.1186/s40663-018-0155-x,0
